Brand,Model,Year,Price,KM_Driven,Fuel_Type,Transmission,Condition,Location,Seller_Type,Phone,Days_Listed,Views,Body_Type
Nissan,Micra,2020,66077,108429,Gasoline,Automatic,Fair,Casablanca,Private,+212621778169,60,496,SUV
Hyundai,Santa Fe,2021,357553,71605,Diesel,Manual,Very Good,Meknes,Private,+212767131867,169,456,Hatchback
Peugeot,308,2021,149177,61144,Gasoline,Automatic,Good,Marrakech,Dealer,+212712422482,49,240,Van
Toyota,Land Cruiser,2020,565499,68200,Diesel,Manual,Very Good,Casablanca,Dealer,+212652942196,139,135,Van
Toyota,Corolla,2022,169894,63056,Gasoline,Manual,Good,Oujda,Private,+212614481568,31,63,Sedan
Peugeot,2008,2022,175648,35399,Diesel,Automatic,Good,Marrakech,Private,+212786524164,42,437,SUV
Toyota,Hilux,2018,240748,89264,Diesel,Manual,Excellent,Rabat,Private,+212773611680,146,471,Hatchback
Hyundai,i10,2021,76456,93820,Gasoline,Automatic,Good,Rabat,Dealer,+212719293290,18,399,Sedan
Renault,Captur,2022,161492,43122,Diesel,Manual,Good,Rabat,Private,+212780056414,133,458,SUV
Hyundai,i20,2023,137228,33630,Gasoline,Automatic,Good,Fes,Dealer,+212741559754,176,351,SUV
Dacia,Duster,2019,111342,68290,Diesel,Manual,Very Good,Casablanca,Dealer,+212682708733,123,283,SUV
Dacia,Logan,2018,66168,82133,Gasoline,Manual,Good,Kenitra,Private,+212660653318,69,474,SUV
Dacia,Sandero,2024,150781,13099,Gasoline,Manual,Very Good,Fes,Private,+212771611360,99,249,Coupe
Toyota,Corolla,2020,149337,69795,Gasoline,Manual,Very Good,Casablanca,Dealer,+212748326026,138,250,SUV
Kia,Sorento,2020,203038,87286,Diesel,Manual,Fair,Fes,Dealer,+212721568453,151,352,Hatchback
Renault,Clio,2024,144270,21252,Diesel,Automatic,Good,Rabat,Private,+212752231672,151,292,Sedan
Renault,Captur,2023,190304,27259,Gasoline,Manual,Good,Marrakech,Dealer,+212728546522,166,532,SUV
Dacia,Duster,2022,174714,60317,Diesel,Manual,Excellent,Rabat,Private,+212774899232,126,81,Hatchback
Renault,Megane,2022,170967,58816,Diesel,Automatic,Very Good,Rabat,Private,+212697095088,158,176,Van
Peugeot,2008,2022,185911,69308,Gasoline,Manual,Very Good,Rabat,Private,+212687385824,98,218,SUV
Hyundai,Tucson,2022,256643,39147,Diesel,Manual,Good,Casablanca,Private,+212659229486,5,233,Van
Dacia,Lodgy,2020,114269,79029,Diesel,Manual,Very Good,Casablanca,Private,+212764047146,34,72,Van
Dacia,Logan,2024,168520,14524,Gasoline,Automatic,Excellent,Casablanca,Dealer,+212658444551,7,639,Coupe
Nissan,Micra,2020,77937,102768,Gasoline,Manual,Good,Fes,Private,+212772745304,28,93,Sedan
Citroen,C5 Aircross,2020,183746,82158,Diesel,Manual,Very Good,Tangier,Dealer,+212617826213,137,261,Hatchback
Dacia,Dokker,2020,95824,70274,Gasoline,Automatic,Good,Tetouan,Private,+212681058574,130,594,Hatchback
Volkswagen,Polo,2021,99969,97149,Gasoline,Automatic,Good,Rabat,Dealer,+212725903721,17,573,Sedan
Dacia,Duster,2018,84195,169717,Gasoline,Manual,Excellent,Casablanca,Private,+212731724736,159,179,Hatchback
Peugeot,308,2022,134732,49144,Diesel,Manual,Fair,Kenitra,Dealer,+212794699122,152,634,Hatchback
Renault,Captur,2024,250242,15244,Diesel,Manual,Very Good,Oujda,Private,+212718938222,169,528,Hatchback
Dacia,Sandero,2024,116607,16444,Gasoline,Manual,Fair,Casablanca,Private,+212735927877,59,165,Hatchback
Toyota,Hilux,2018,179617,151557,Diesel,Manual,Very Good,Tangier,Private,+212637534696,34,437,Hatchback
Dacia,Sandero,2021,98303,57940,Gasoline,Manual,Very Good,Marrakech,Private,+212745068716,69,639,Sedan
Dacia,Lodgy,2019,98689,79167,Diesel,Automatic,Very Good,Casablanca,Private,+212764624350,93,470,Pickup
Nissan,X-Trail,2020,246584,84500,Gasoline,Manual,Excellent,Rabat,Private,+212740979058,95,87,Sedan
Peugeot,308,2021,172602,79514,Gasoline,Automatic,Excellent,Casablanca,Private,+212630391557,52,136,Hatchback
Citroen,C4,2020,102054,85051,Gasoline,Manual,Fair,Tetouan,Private,+212770465370,101,163,Sedan
Dacia,Lodgy,2021,98077,80345,Diesel,Manual,Good,Marrakech,Dealer,+212623433857,14,461,Sedan
Peugeot,2008,2023,201320,41755,Gasoline,Manual,Good,Fes,Dealer,+212632852014,167,268,SUV
Dacia,Duster,2022,140157,49219,Diesel,Manual,Good,Marrakech,Private,+212720538988,51,410,SUV
Dacia,Logan,2022,105398,47321,Gasoline,Automatic,Good,Casablanca,Private,+212680254962,95,491,Hatchback
Dacia,Sandero,2020,89414,73020,Gasoline,Manual,Very Good,Agadir,Private,+212747700921,114,140,SUV
Dacia,Duster,2018,78017,147832,Diesel,Manual,Good,Agadir,Private,+212749956443,150,249,Hatchback
Nissan,Qashqai,2020,166986,99734,Diesel,Automatic,Good,Marrakech,Private,+212736821900,156,97,Pickup
Kia,Rio,2023,153120,26167,Gasoline,Manual,Very Good,Oujda,Private,+212747340102,158,684,Hatchback
Renault,Clio,2018,83579,129418,Gasoline,Manual,Excellent,Tangier,Private,+212671365263,154,513,SUV
Renault,Clio,2020,102276,90764,Diesel,Manual,Excellent,Casablanca,Private,+212755574643,171,191,Van
Dacia,Logan,2020,100149,102526,Gasoline,Manual,Excellent,Tangier,Dealer,+212740051783,92,534,Hatchback
Kia,Sorento,2022,279766,65356,Diesel,Automatic,Fair,Tangier,Dealer,+212620258011,27,182,Van
Peugeot,3008,2020,222905,75744,Gasoline,Automatic,Very Good,Meknes,Private,+212797777483,1,327,Hatchback
Renault,Clio,2024,179379,19504,Gasoline,Manual,Excellent,Tangier,Private,+212778391536,165,729,Sedan
Renault,Captur,2022,201957,73672,Diesel,Automatic,Excellent,Agadir,Dealer,+212685823434,173,66,Sedan
Peugeot,208,2020,93489,91804,Gasoline,Manual,Good,Kenitra,Dealer,+212783949889,68,625,Coupe
Dacia,Dokker,2019,86228,71553,Gasoline,Manual,Good,Agadir,Private,+212666488023,35,488,SUV
Dacia,Logan,2019,59430,130838,Gasoline,Manual,Fair,Oujda,Dealer,+212754806565,149,650,SUV
Dacia,Duster,2018,72487,168351,Gasoline,Automatic,Good,Rabat,Dealer,+212778618991,47,170,Hatchback
Volkswagen,Tiguan,2019,192438,131877,Gasoline,Manual,Good,Kenitra,Dealer,+212784659560,137,104,Hatchback
Nissan,Micra,2022,105016,40563,Gasoline,Manual,Good,Casablanca,Private,+212774313916,167,494,Hatchback
Kia,Rio,2023,130613,24800,Gasoline,Manual,Good,Casablanca,Private,+212739854868,24,169,Sedan
Hyundai,i10,2021,102693,76267,Gasoline,Automatic,Excellent,Rabat,Dealer,+212758116898,180,482,SUV
Ford,Ranger,2021,271390,73508,Diesel,Automatic,Good,Casablanca,Private,+212643812955,72,94,Sedan
Dacia,Logan,2023,115066,32422,Gasoline,Automatic,Good,Meknes,Private,+212755929588,9,776,SUV
Dacia,Duster,2019,87084,142202,Gasoline,Automatic,Good,Marrakech,Private,+212633399882,158,150,Hatchback
Dacia,Duster,2020,124803,79045,Diesel,Manual,Very Good,Oujda,Private,+212781220168,28,193,Sedan
Dacia,Sandero,2024,139105,19771,Gasoline,Automatic,Good,Casablanca,Private,+212647524941,110,414,Sedan
Toyota,RAV4,2024,375839,12482,Gasoline,Automatic,Good,Oujda,Dealer,+212760758469,95,649,Sedan
Dacia,Sandero,2018,67970,109741,Gasoline,Manual,Very Good,Oujda,Dealer,+212746990588,70,314,SUV
Renault,Captur,2024,215790,15396,Diesel,Automatic,Good,Casablanca,Private,+212735653323,43,583,Van
Renault,Clio,2023,145265,40399,Gasoline,Manual,Very Good,Tangier,Dealer,+212614666033,166,582,SUV
Nissan,Qashqai,2023,272896,38585,Gasoline,Manual,Very Good,Casablanca,Private,+212778200489,39,624,Van
Dacia,Sandero,2023,115853,24154,Gasoline,Automatic,Good,Fes,Dealer,+212670142481,127,750,Hatchback
Dacia,Duster,2018,79696,133583,Diesel,Automatic,Good,Agadir,Private,+212739931211,45,96,Coupe
Dacia,Lodgy,2021,84292,85332,Diesel,Manual,Fair,Meknes,Dealer,+212715036513,137,128,Pickup
Volkswagen,Tiguan,2021,272512,59265,Gasoline,Automatic,Good,Rabat,Dealer,+212630294612,124,292,Pickup
Kia,Sportage,2021,205726,83671,Diesel,Automatic,Very Good,Rabat,Private,+212638277911,134,208,SUV
Dacia,Duster,2020,123103,85218,Diesel,Manual,Excellent,Rabat,Private,+212651870299,119,126,Sedan
Peugeot,2008,2019,113254,88754,Gasoline,Manual,Good,Rabat,Private,+212638549854,80,469,Sedan
Renault,Kadjar,2020,171103,122069,Gasoline,Manual,Very Good,Tetouan,Private,+212771957635,117,323,Hatchback
Hyundai,Santa Fe,2018,196264,107916,Gasoline,Automatic,Good,Rabat,Dealer,+212759837562,60,428,Sedan
Kia,Picanto,2024,121314,19257,Gasoline,Automatic,Good,Fes,Private,+212742375012,127,725,Sedan
Peugeot,208,2023,172803,31218,Gasoline,Manual,Excellent,Oujda,Private,+212691382813,129,354,Sedan
Renault,Talisman,2019,163170,146070,Gasoline,Automatic,Good,Marrakech,Private,+212749442560,160,467,Sedan
Renault,Clio,2020,81563,108398,Gasoline,Automatic,Good,Marrakech,Dealer,+212679064873,72,438,Sedan
Ford,Kuga,2018,170280,117091,Diesel,Manual,Excellent,Meknes,Dealer,+212694943701,177,344,Sedan
Ford,Focus,2018,74281,122508,Gasoline,Manual,Fair,Casablanca,Dealer,+212718154465,80,406,Coupe
Volkswagen,Golf,2021,148679,63423,Gasoline,Manual,Good,Casablanca,Dealer,+212676771178,61,271,SUV
Toyota,Hilux,2024,415644,11925,Diesel,Automatic,Good,Marrakech,Dealer,+212690354458,109,742,Hatchback
Renault,Clio,2018,62712,79369,Diesel,Manual,Fair,Marrakech,Dealer,+212677778802,177,196,Hatchback
Peugeot,3008,2023,361255,28044,Hybrid,Manual,Excellent,Marrakech,Private,+212634242455,137,555,Hatchback
Ford,Kuga,2018,158776,139306,Gasoline,Automatic,Very Good,Casablanca,Private,+212796172561,154,83,Hatchback
Renault,Clio,2024,150305,16965,Diesel,Automatic,Good,Tangier,Dealer,+212619569716,164,147,Hatchback
Dacia,Dokker,2022,109281,52577,Gasoline,Automatic,Good,Casablanca,Private,+212769158670,14,96,SUV
Renault,Captur,2023,187754,38432,Gasoline,Automatic,Good,Agadir,Private,+212685687279,50,667,SUV
Volkswagen,Tiguan,2024,478780,20770,Gasoline,Manual,Excellent,Casablanca,Dealer,+212612668728,64,400,Hatchback
Toyota,RAV4,2021,226720,94179,Gasoline,Manual,Good,Kenitra,Private,+212622534958,75,495,SUV
Ford,Focus,2020,158045,70191,Gasoline,Manual,Excellent,Tangier,Private,+212641964870,120,158,Pickup
Dacia,Duster,2023,176823,42580,Diesel,Automatic,Very Good,Tangier,Dealer,+212622263233,44,412,SUV
Toyota,Land Cruiser,2019,462723,131132,Diesel,Manual,Very Good,Agadir,Dealer,+212654868488,158,168,SUV
Dacia,Logan,2024,145957,18533,Gasoline,Manual,Good,Casablanca,Private,+212789815617,112,726,SUV
Dacia,Duster,2019,89990,82001,Diesel,Manual,Good,Rabat,Private,+212619260300,100,349,SUV
Toyota,Hilux,2023,369393,30403,Diesel,Automatic,Good,Tangier,Private,+212797051088,125,634,SUV
Dacia,Logan,2021,114734,58240,Gasoline,Manual,Excellent,Rabat,Private,+212661874449,15,525,Sedan
Dacia,Sandero,2018,60707,140247,Gasoline,Manual,Good,Casablanca,Dealer,+212692105363,18,501,Sedan
Hyundai,i20,2021,105288,78631,Gasoline,Automatic,Good,Meknes,Dealer,+212633475861,94,570,Sedan
Dacia,Duster,2021,134453,49362,Diesel,Manual,Very Good,Agadir,Private,+212794706233,50,650,Hatchback
Dacia,Duster,2022,159061,39360,Gasoline,Automatic,Very Good,Meknes,Dealer,+212742263600,41,236,Pickup
Dacia,Duster,2018,91122,106966,Gasoline,Manual,Very Good,Oujda,Dealer,+212617186179,72,361,Sedan
Dacia,Duster,2018,77546,138149,Gasoline,Manual,Good,Rabat,Dealer,+212610641332,35,166,Coupe
Nissan,Qashqai,2022,252214,52925,Diesel,Manual,Very Good,Marrakech,Private,+212653449208,55,211,SUV
Dacia,Logan,2018,65515,120328,Gasoline,Automatic,Good,Agadir,Private,+212711265493,85,520,Sedan
Dacia,Lodgy,2022,131921,43419,Gasoline,Manual,Very Good,Casablanca,Private,+212635186520,175,223,Pickup
Renault,Megane,2019,127480,136060,Diesel,Manual,Excellent,Rabat,Private,+212727331034,129,577,Van
Nissan,X-Trail,2021,259415,54865,Diesel,Automatic,Good,Casablanca,Private,+212675534332,9,86,SUV
Ford,Kuga,2021,238198,55922,Gasoline,Manual,Very Good,Rabat,Dealer,+212652455006,178,121,Van
Volkswagen,Golf,2020,163142,58172,Diesel,Automatic,Very Good,Agadir,Private,+212714211488,3,489,Sedan
Dacia,Logan,2021,100227,78971,Gasoline,Manual,Good,Oujda,Private,+212730872831,88,247,Pickup
Dacia,Logan,2018,52225,101272,Gasoline,Manual,Fair,Casablanca,Private,+212734611557,95,239,Hatchback
Peugeot,208,2020,102131,67309,Diesel,Manual,Good,Fes,Dealer,+212636256576,173,617,SUV
Dacia,Logan,2024,121137,19154,Gasoline,Manual,Fair,Fes,Private,+212721601435,53,760,Van
Hyundai,i20,2018,76859,111719,Gasoline,Manual,Very Good,Casablanca,Private,+212722471941,63,518,Sedan
Dacia,Sandero,2019,74110,130705,Gasoline,Manual,Very Good,Agadir,Private,+212743259455,97,461,Sedan
Nissan,Juke,2018,113374,104483,Gasoline,Manual,Good,Fes,Dealer,+212760390880,156,80,Sedan
Toyota,Hilux,2021,293800,60344,Diesel,Manual,Good,Casablanca,Private,+212659629063,121,302,Sedan
Dacia,Logan,2023,130263,24620,Gasoline,Automatic,Good,Fes,Private,+212774227806,165,344,Pickup
Dacia,Duster,2022,166224,37511,Gasoline,Automatic,Excellent,Casablanca,Dealer,+212745821495,18,88,Hatchback
Renault,Talisman,2020,158777,70210,Gasoline,Automatic,Fair,Fes,Dealer,+212640446424,8,329,Hatchback
Dacia,Logan,2020,76971,106798,Gasoline,Manual,Good,Tangier,Dealer,+212745983435,27,377,Sedan
Renault,Kadjar,2018,138544,168075,Gasoline,Manual,Excellent,Marrakech,Private,+212744703635,92,570,Van
Kia,Picanto,2023,103635,50215,Gasoline,Manual,Good,Marrakech,Private,+212763745870,23,122,Sedan
Dacia,Logan,2021,112375,73824,Gasoline,Manual,Very Good,Kenitra,Private,+212729516873,31,640,Pickup
Peugeot,2008,2021,177679,50092,Gasoline,Manual,Very Good,Kenitra,Private,+212773027892,65,187,SUV
Dacia,Duster,2022,136487,46888,Gasoline,Automatic,Good,Casablanca,Private,+212672027614,152,176,Pickup
Volkswagen,Polo,2021,130724,75144,Diesel,Automatic,Very Good,Tangier,Private,+212625941223,138,538,SUV
Nissan,Patrol,2020,458591,77210,Diesel,Automatic,Good,Tangier,Private,+212793694953,58,203,Pickup
Kia,Sorento,2018,165931,156515,Gasoline,Automatic,Good,Tetouan,Private,+212736711022,17,190,Sedan
Dacia,Logan,2019,81974,145065,Gasoline,Manual,Very Good,Casablanca,Private,+212636349754,15,291,Hatchback
Dacia,Duster,2020,104417,98569,Gasoline,Manual,Good,Casablanca,Private,+212673048002,114,130,Hatchback
Volkswagen,Tiguan,2023,337402,39750,Diesel,Manual,Good,Kenitra,Private,+212786972294,68,516,Coupe
Renault,Clio,2020,67819,86119,Diesel,Manual,Fair,Agadir,Private,+212762623783,99,562,Hatchback
Toyota,Hilux,2022,311390,57035,Diesel,Manual,Good,Casablanca,Dealer,+212639541466,13,81,Coupe
Dacia,Dokker,2021,104877,101568,Diesel,Manual,Very Good,Casablanca,Private,+212738424896,98,79,Pickup
Dacia,Lodgy,2019,102487,77900,Gasoline,Automatic,Very Good,Casablanca,Private,+212611423001,85,279,SUV
Dacia,Duster,2018,79057,111338,Gasoline,Manual,Good,Tetouan,Private,+212626740242,90,195,Sedan
Dacia,Sandero,2021,85797,81237,Gasoline,Automatic,Good,Meknes,Private,+212639777387,114,127,Van
Toyota,Corolla,2021,126667,77911,Hybrid,Automatic,Fair,Fes,Private,+212677106393,58,526,Hatchback
Dacia,Logan,2022,112501,39365,Gasoline,Manual,Good,Rabat,Dealer,+212666535796,55,183,Sedan
Dacia,Dokker,2019,80938,108753,Diesel,Automatic,Very Good,Casablanca,Private,+212680688715,157,354,Sedan
Citroen,C4,2018,98059,143953,Gasoline,Automatic,Good,Meknes,Private,+212613058707,125,191,Hatchback
Dacia,Dokker,2019,77282,95598,Diesel,Manual,Good,Casablanca,Dealer,+212799144815,51,66,Sedan
Dacia,Sandero,2021,92707,76211,Gasoline,Manual,Good,Casablanca,Private,+212664163277,76,373,Sedan
Dacia,Lodgy,2020,87365,82119,Gasoline,Manual,Good,Agadir,Private,+212643306650,175,109,Hatchback
Dacia,Duster,2023,166288,27669,Gasoline,Manual,Good,Agadir,Private,+212781189170,44,700,Sedan
Dacia,Logan,2020,99914,81979,Gasoline,Manual,Excellent,Agadir,Dealer,+212733011954,173,192,SUV
Renault,Captur,2022,203475,65277,Diesel,Automatic,Excellent,Fes,Dealer,+212672408898,135,498,Sedan
Toyota,Hilux,2018,228719,79865,Diesel,Automatic,Very Good,Casablanca,Dealer,+212773790412,73,130,Sedan
Hyundai,i20,2024,146207,19991,Gasoline,Manual,Good,Fes,Dealer,+212725921650,8,581,Sedan
Dacia,Dokker,2019,64854,104047,Gasoline,Manual,Fair,Rabat,Private,+212655123624,118,178,SUV
Peugeot,2008,2018,110808,121322,Gasoline,Automatic,Very Good,Casablanca,Dealer,+212759428058,95,361,Sedan
Dacia,Duster,2024,202691,12575,Diesel,Manual,Very Good,Rabat,Private,+212670229228,103,661,SUV
Kia,Sorento,2022,322161,41368,Diesel,Automatic,Good,Marrakech,Private,+212627677189,97,52,Hatchback
Dacia,Duster,2020,110903,78122,Diesel,Manual,Good,Casablanca,Private,+212710438584,177,429,Sedan
Nissan,Qashqai,2024,239076,15354,Diesel,Manual,Fair,Rabat,Private,+212770628339,23,457,SUV
Citroen,Berlingo,2019,103275,102564,Diesel,Automatic,Very Good,Fes,Private,+212734329756,30,243,Sedan
Ford,Mustang,2022,547456,48348,Gasoline,Manual,Very Good,Rabat,Private,+212681213237,150,378,SUV
Peugeot,308,2018,99853,103957,Diesel,Automatic,Good,Rabat,Dealer,+212625984287,72,642,SUV
Hyundai,i20,2019,73006,131720,Gasoline,Manual,Good,Fes,Private,+212698716283,110,388,Van
Renault,Captur,2024,239163,14168,Diesel,Manual,Very Good,Tangier,Dealer,+212791583673,41,220,Pickup
Dacia,Duster,2022,155438,47033,Diesel,Manual,Very Good,Casablanca,Private,+212792060194,110,138,Sedan
Peugeot,208,2019,69140,87149,Diesel,Automatic,Fair,Casablanca,Private,+212771470227,84,475,SUV
Renault,Clio,2021,101270,58590,Gasoline,Manual,Good,Meknes,Private,+212641134119,148,400,Pickup
Dacia,Lodgy,2021,107819,74497,Diesel,Manual,Good,Rabat,Private,+212677935567,114,522,Hatchback
Volkswagen,Polo,2020,94016,96029,Diesel,Manual,Good,Tangier,Private,+212686230107,168,314,Sedan
Peugeot,2008,2018,124755,146764,Gasoline,Automatic,Excellent,Fes,Private,+212643969822,8,579,SUV
Citroen,Berlingo,2019,93052,118791,Diesel,Manual,Good,Fes,Dealer,+212643680323,176,213,Sedan
Nissan,X-Trail,2022,283122,61578,Gasoline,Manual,Good,Marrakech,Private,+212785536483,102,202,Sedan
Toyota,Corolla,2024,187154,24059,Hybrid,Manual,Fair,Marrakech,Private,+212712136262,126,238,Sedan
Toyota,RAV4,2023,379950,33645,Gasoline,Manual,Excellent,Oujda,Private,+212650793278,69,213,SUV
Peugeot,2008,2018,122789,78601,Gasoline,Manual,Very Good,Agadir,Private,+212766214813,8,612,Sedan
Volkswagen,Golf,2018,118654,124230,Diesel,Automatic,Very Good,Tangier,Dealer,+212721296303,171,325,Hatchback
Hyundai,i10,2018,69007,97585,Gasoline,Manual,Excellent,Fes,Dealer,+212648037817,108,313,Sedan
Peugeot,2008,2022,216148,64669,Diesel,Manual,Excellent,Casablanca,Private,+212660074925,40,123,Hatchback
Peugeot,2008,2020,134826,102670,Gasoline,Manual,Very Good,Fes,Dealer,+212712915328,89,287,Sedan
Dacia,Sandero,2018,51806,156774,Gasoline,Manual,Good,Meknes,Dealer,+212623969971,18,304,Sedan
Renault,Kadjar,2018,127452,94280,Diesel,Manual,Good,Casablanca,Private,+212759851968,176,560,Van
Nissan,Juke,2020,159425,120113,Gasoline,Manual,Very Good,Casablanca,Private,+212764102635,7,348,Hatchback
Renault,Talisman,2021,247433,57129,Gasoline,Manual,Very Good,Meknes,Dealer,+212656254990,28,463,Van
Dacia,Sandero,2018,45371,153296,Gasoline,Automatic,Fair,Casablanca,Dealer,+212715785506,22,371,Sedan
Dacia,Sandero,2021,103769,50215,Gasoline,Automatic,Very Good,Rabat,Private,+212767045601,179,166,Pickup
Kia,Sportage,2024,303639,20770,Gasoline,Automatic,Good,Rabat,Private,+212771800133,10,703,SUV
Renault,Clio,2020,110319,70559,Diesel,Manual,Excellent,Rabat,Dealer,+212777024350,31,560,SUV
Renault,Kadjar,2021,165389,55283,Diesel,Manual,Fair,Casablanca,Dealer,+212716973509,140,310,SUV
Dacia,Duster,2024,190197,14979,Diesel,Manual,Very Good,Rabat,Private,+212640759362,44,627,Hatchback
Nissan,X-Trail,2020,230057,70052,Gasoline,Manual,Good,Fes,Private,+212777870983,90,160,Sedan
Peugeot,3008,2022,277061,38774,Diesel,Automatic,Very Good,Casablanca,Dealer,+212613789601,139,358,SUV
Dacia,Duster,2021,137068,77473,Gasoline,Manual,Very Good,Fes,Dealer,+212731970564,164,338,SUV
Toyota,Corolla,2019,96076,150087,Hybrid,Manual,Good,Oujda,Dealer,+212617202928,29,582,Pickup
Peugeot,208,2021,106856,56088,Gasoline,Manual,Good,Tangier,Private,+212660842531,149,399,Sedan
Nissan,Qashqai,2019,185550,125226,Gasoline,Manual,Excellent,Oujda,Private,+212720723548,151,123,Hatchback
Volkswagen,Golf,2019,108140,84520,Gasoline,Manual,Good,Rabat,Private,+212745871280,86,370,Pickup
Dacia,Logan,2022,88744,63614,Gasoline,Manual,Fair,Rabat,Private,+212795615966,124,301,Sedan
Hyundai,Tucson,2023,299837,26265,Hybrid,Manual,Good,Rabat,Private,+212779257014,90,679,SUV
Hyundai,Santa Fe,2023,432130,36429,Diesel,Manual,Very Good,Marrakech,Private,+212749096898,172,487,Sedan
Dacia,Logan,2024,140984,21906,Gasoline,Automatic,Good,Casablanca,Private,+212650028536,48,210,Sedan
Dacia,Duster,2019,88135,103347,Gasoline,Manual,Good,Kenitra,Private,+212719392980,102,501,SUV
Renault,Megane,2021,146686,91512,Diesel,Manual,Excellent,Rabat,Private,+212739612944,101,209,Hatchback
Renault,Kadjar,2019,162399,118229,Gasoline,Automatic,Very Good,Casablanca,Private,+212653896855,38,444,Van
Dacia,Lodgy,2019,77781,97940,Gasoline,Automatic,Good,Casablanca,Private,+212723169549,159,587,SUV
Hyundai,i20,2020,102118,77904,Gasoline,Manual,Very Good,Casablanca,Private,+212764936007,37,590,Hatchback
Dacia,Dokker,2022,125405,70184,Diesel,Automatic,Very Good,Tangier,Private,+212647645948,78,470,Hatchback
Peugeot,208,2020,103079,66011,Diesel,Manual,Good,Fes,Private,+212770974802,26,640,Sedan
Hyundai,i10,2019,60916,120597,Gasoline,Automatic,Good,Casablanca,Private,+212629662151,22,377,Pickup
Kia,Sportage,2019,213509,78535,Diesel,Manual,Excellent,Oujda,Dealer,+212622705718,8,180,SUV
Nissan,Patrol,2023,613501,32330,Diesel,Automatic,Good,Marrakech,Private,+212773170675,141,439,Pickup
Dacia,Lodgy,2018,72152,89839,Diesel,Manual,Good,Casablanca,Private,+212778363161,64,650,Sedan
